user_id,rank,title_id,genre
1,1,70,Comedy
1,2,241,Comedy
1,3,102,Comedy
1,4,299,Comedy
1,5,105,Drama
2,1,70,Comedy
2,2,106,Romance
2,3,87,Comedy
2,4,241,Comedy
2,5,102,Comedy
3,1,70,Comedy
3,2,87,Comedy
3,3,241,Comedy
3,4,192,Thriller
3,5,237,Thriller
4,1,90,Action
4,2,16,Action
4,3,284,Action
4,4,192,Thriller
4,5,237,Thriller
5,1,70,Comedy
5,2,106,Romance
5,3,87,Comedy
5,4,102,Comedy
5,5,299,Comedy
6,1,295,Action
6,2,266,Action
6,3,168,Action
6,4,70,Comedy
6,5,16,Action
7,1,111,Drama
7,2,89,Drama
7,3,227,Drama
7,4,172,Drama
7,5,55,Drama
8,1,280,Action
8,2,295,Action
8,3,266,Action
8,4,176,Action
8,5,231,Action
9,1,111,Drama
9,2,227,Drama
9,3,172,Drama
9,4,55,Drama
9,5,286,Drama
10,1,106,Romance
10,2,192,Thriller
10,3,237,Thriller
10,4,213,Romance
10,5,209,Romance
11,1,104,Drama
11,2,89,Drama
11,3,227,Drama
11,4,55,Drama
11,5,286,Drama
12,1,70,Comedy
12,2,241,Comedy
12,3,192,Thriller
12,4,237,Thriller
12,5,102,Comedy
13,1,280,Action
13,2,266,Action
13,3,260,Action
13,4,176,Action
13,5,231,Action
14,1,227,Drama
14,2,172,Drama
14,3,55,Drama
14,4,286,Drama
14,5,269,Drama
15,1,111,Drama
15,2,89,Drama
15,3,227,Drama
15,4,172,Drama
15,5,55,Drama
16,1,280,Action
16,2,107,Action
16,3,266,Action
16,4,260,Action
16,5,176,Action
17,1,280,Action
17,2,266,Action
17,3,176,Action
17,4,90,Action
17,5,284,Action
18,1,192,Thriller
18,2,237,Thriller
18,3,76,Documentary
18,4,40,Documentary
18,5,271,Documentary
19,1,106,Romance
19,2,87,Comedy
19,3,102,Comedy
19,4,299,Comedy
19,5,45,Comedy
20,1,106,Romance
20,2,192,Thriller
20,3,237,Thriller
20,4,213,Romance
20,5,202,Thriller
21,1,107,Action
21,2,295,Action
21,3,266,Action
21,4,260,Action
21,5,176,Action
22,1,50,Documentary
22,2,191,Documentary
22,3,76,Documentary
22,4,40,Documentary
22,5,213,Romance
23,1,192,Thriller
23,2,237,Thriller
23,3,43,Thriller
23,4,271,Documentary
23,5,202,Thriller
24,1,227,Drama
24,2,55,Drama
24,3,93,Drama
24,4,237,Thriller
24,5,43,Thriller
25,1,106,Romance
25,2,192,Thriller
25,3,237,Thriller
25,4,43,Thriller
25,5,213,Romance
26,1,106,Romance
26,2,213,Romance
26,3,209,Romance
26,4,232,Romance
26,5,36,Romance
27,1,70,Comedy
27,2,255,Kids
27,3,87,Comedy
27,4,241,Comedy
27,5,274,Kids
28,1,280,Action
28,2,107,Action
28,3,231,Action
28,4,255,Kids
28,5,16,Action
29,1,106,Romance
29,2,50,Documentary
29,3,191,Documentary
29,4,76,Documentary
29,5,40,Documentary
30,1,255,Kids
30,2,50,Documentary
30,3,274,Kids
30,4,49,Kids
30,5,191,Documentary
31,1,50,Documentary
31,2,191,Documentary
31,3,192,Thriller
31,4,237,Thriller
31,5,40,Documentary
32,1,104,Drama
32,2,111,Drama
32,3,89,Drama
32,4,227,Drama
32,5,172,Drama
33,1,241,Comedy
33,2,192,Thriller
33,3,237,Thriller
33,4,214,Comedy
33,5,202,Thriller
34,1,104,Drama
34,2,172,Drama
34,3,269,Drama
34,4,64,Drama
34,5,93,Drama
35,1,280,Action
35,2,107,Action
35,3,295,Action
35,4,260,Action
35,5,176,Action
36,1,104,Drama
36,2,111,Drama
36,3,89,Drama
36,4,227,Drama
36,5,240,Drama
37,1,280,Action
37,2,107,Action
37,3,295,Action
37,4,176,Action
37,5,231,Action
38,1,104,Drama
38,2,227,Drama
38,3,172,Drama
38,4,286,Drama
38,5,269,Drama
39,1,70,Comedy
39,2,106,Romance
39,3,87,Comedy
39,4,241,Comedy
39,5,102,Comedy
40,1,104,Drama
40,2,227,Drama
40,3,172,Drama
40,4,55,Drama
40,5,286,Drama
41,1,50,Documentary
41,2,274,Kids
41,3,49,Kids
41,4,76,Documentary
41,5,40,Documentary
42,1,255,Kids
42,2,50,Documentary
42,3,274,Kids
42,4,49,Kids
42,5,271,Documentary
43,1,106,Romance
43,2,213,Romance
43,3,209,Romance
43,4,217,Romance
43,5,232,Romance
44,1,104,Drama
44,2,111,Drama
44,3,89,Drama
44,4,172,Drama
44,5,55,Drama
45,1,106,Romance
45,2,237,Thriller
45,3,43,Thriller
45,4,213,Romance
45,5,209,Romance
46,1,255,Kids
46,2,274,Kids
46,3,49,Kids
46,4,192,Thriller
46,5,43,Thriller
47,1,286,Drama
47,2,269,Drama
47,3,263,Drama
47,4,274,Kids
47,5,49,Kids
48,1,89,Drama
48,2,172,Drama
48,3,55,Drama
48,4,286,Drama
48,5,269,Drama
49,1,255,Kids
49,2,87,Comedy
49,3,49,Kids
49,4,102,Comedy
49,5,299,Comedy
50,1,106,Romance
50,2,50,Documentary
50,3,191,Documentary
50,4,76,Documentary
50,5,40,Documentary
51,1,70,Comedy
51,2,255,Kids
51,3,87,Comedy
51,4,241,Comedy
51,5,274,Kids
52,1,280,Action
52,2,295,Action
52,3,260,Action
52,4,176,Action
52,5,231,Action
53,1,280,Action
53,2,107,Action
53,3,295,Action
53,4,266,Action
53,5,269,Drama
54,1,241,Comedy
54,2,192,Thriller
54,3,237,Thriller
54,4,299,Comedy
54,5,43,Thriller
55,1,111,Drama
55,2,172,Drama
55,3,55,Drama
55,4,269,Drama
55,5,64,Drama
56,1,280,Action
56,2,107,Action
56,3,295,Action
56,4,266,Action
56,5,260,Action
57,1,70,Comedy
